start_time, eye_data_get_time, eye_data_pack_time, image_data_get_time, image_process_time, image_data_pack_time, end_time, iterations
1664462558332863912, 1664462558332881555, 1664462558333198109, 1664462558332899659, 1664462558334832849, 1664462558336075580, 1664462558337814918, 1
1664462558352824472, 1664462558352833608, 1664462558353105796, 1664462558352952084, 1664462558354000968, 1664462558355392126, 1664462558355915705, 2
1664462558372789995, 1664462558372798971, 1664462558374711298, 1664462558374557910, 1664462558375526253, 1664462558376930098, 1664462558377610309, 3
1664462558393041869, 1664462558393052010, 1664462558396644523, 1664462558396454389, 1664462558397563984, 1664462558399318049, 1664462558399899482, 4
1664462558412812868, 1664462558412825626, 1664462558420444252, 1664462558420039314, 1664462558421993733, 1664462558425039997, 1664462558425871827, 5
1664462558432880817, 1664462558432894015, 1664462558433191316, 1664462558432916417, 1664462558434885923, 1664462558437914278, 1664462558438716152, 6
1664462558452859479, 1664462558452868317, 1664462558453025288, 1664462558452879256, 1664462558453823490, 1664462558455197530, 1664462558455679939, 7
1664462558472743945, 1664462558472750766, 1664462558472905210, 1664462558472761996, 1664462558473822253, 1664462558475222740, 1664462558475730519, 8
1664462558492899789, 1664462558492910255, 1664462558493120286, 1664462558492925522, 1664462558494134756, 1664462558495871320, 1664462558496404611, 9
1664462558512843138, 1664462558512856123, 1664462558513155090, 1664462558512879191, 1664462558514623338, 1664462558517255253, 1664462558517983672, 10
1664462558532934979, 1664462558532958017, 1664462558541592124, 1664462558540994438, 1664462558544790947, 1664462558550770631, 1664462558552315431, 11
1664462558553552284, 1664462558553573557, 1664462558560697343, 1664462558560147021, 1664462558564086841, 1664462558567490308, 1664462558568990749, 12
1664462558572915183, 1664462558572940372, 1664462558577241198, 1664462558576746140, 1664462558580468660, 1664462558583810587, 1664462558585307319, 13
1664462558592999474, 1664462558593025393, 1664462558593589787, 1664462558593068581, 1664462558596870160, 1664462558599871543, 1664462558601184858, 14
1664462558612887601, 1664462558612898516, 1664462558613133161, 1664462558612917041, 1664462558614585349, 1664462558616121132, 1664462558616866445, 15
1664462558632865434, 1664462558632876270, 1664462558633114904, 1664462558632894358, 1664462558634578507, 1664462558636120562, 1664462558636866748, 16
1664462558653186112, 1664462558653248014, 1664462558657913810, 1664462558657128242, 1664462558661590562, 1664462558665383849, 1664462558667068129, 17
1664462558672999317, 1664462558673025707, 1664462558678233670, 1664462558677694361, 1664462558682262511, 1664462558685953034, 1664462558687830054, 18
1664462558692901648, 1664462558692926690, 1664462558694167797, 1664462558693652241, 1664462558698046561, 1664462558701892518, 1664462558703480017, 19
1664462558713058540, 1664462558713088247, 1664462558714351191, 1664462558713783339, 1664462558717838455, 1664462558720535357, 1664462558721740941, 20
1664462558732984149, 1664462558733011662, 1664462558733447584, 1664462558733047649, 1664462558736469456, 1664462558739262696, 1664462558740460493, 21
1664462558752973334, 1664462558752994786, 1664462558753797114, 1664462558753029494, 1664462558756370081, 1664462558759011222, 1664462558760188610, 22
1664462558773004327, 1664462558773027427, 1664462558776624542, 1664462558776195987, 1664462558779357580, 1664462558781996121, 1664462558783223142, 23
1664462558792879839, 1664462558792894986, 1664462558803533200, 1664462558803194034, 1664462558805620807, 1664462558807701044, 1664462558808619279, 24
1664462558812964821, 1664462558812979812, 1664462558813302304, 1664462558813005976, 1664462558815214942, 1664462558817226861, 1664462558818117444, 25
1664462558833117746, 1664462558833167594, 1664462558834475993, 1664462558833818444, 1664462558838048739, 1664462558841796084, 1664462558843346543, 26
1664462558853011535, 1664462558853038652, 1664462558859723414, 1664462558858886102, 1664462558863905113, 1664462558867971923, 1664462558869668567, 27
1664462558873017324, 1664462558873044912, 1664462558873729933, 1664462558873096287, 1664462558877434355, 1664462558881197880, 1664462558883196073, 28
1664462558893141901, 1664462558893168651, 1664462558906992697, 1664462558906230325, 1664462558910458157, 1664462558914135370, 1664462558915732407, 29
1664462558916849610, 1664462558916874238, 1664462558924721354, 1664462558924067542, 1664462558928540283, 1664462558932327569, 1664462558933912933, 30
1664462558935416167, 1664462558935442387, 1664462558940215417, 1664462558939697884, 1664462558942702198, 1664462558944757597, 1664462558945697795, 31
1664462558952843867, 1664462558952856665, 1664462558953102262, 1664462558952877333, 1664462558954400735, 1664462558955776423, 1664462558956441485, 32
1664462558972800621, 1664462558972811392, 1664462558974150842, 1664462558973945075, 1664462558975203701, 1664462558976054871, 1664462558976577708, 33
1664462558992926754, 1664462558992940392, 1664462558993867794, 1664462558993668132, 1664462558994687772, 1664462558995644073, 1664462558996209741, 34
1664462559013138154, 1664462559013182197, 1664462559015386817, 1664462559014640869, 1664462559018887924, 1664462559022567055, 1664462559024163092, 35
1664462559033068241, 1664462559033107223, 1664462559036317417, 1664462559035379564, 1664462559040135388, 1664462559043967752, 1664462559045529641, 36
1664462559052934105, 1664462559052953229, 1664462559068253709, 1664462559067573232, 1664462559071257825, 1664462559074403765, 1664462559075724546, 37
1664462559076578936, 1664462559076615870, 1664462559077815151, 1664462559077127532, 1664462559080380220, 1664462559083033130, 1664462559084235347, 38
1664462559092941193, 1664462559092962661, 1664462559093450381, 1664462559092997595, 1664462559096021391, 1664462559098738838, 1664462559100069948, 39
1664462559113034210, 1664462559113066596, 1664462559123148469, 1664462559122188783, 1664462559126729632, 1664462559130503445, 1664462559132098727, 40
1664462559133325922, 1664462559133350572, 1664462559134182767, 1664462559133645872, 1664462559137863853, 1664462559141594230, 1664462559143263903, 41
1664462559152937594, 1664462559152956800, 1664462559158782399, 1664462559158340180, 1664462559161308604, 1664462559164063534, 1664462559165319745, 42
1664462559173035694, 1664462559173060128, 1664462559177794032, 1664462559177350474, 1664462559180357134, 1664462559183018799, 1664462559184226193, 43
1664462559192990572, 1664462559193015063, 1664462559193462145, 1664462559193050788, 1664462559195990268, 1664462559198668967, 1664462559199920323, 44
1664462559212995935, 1664462559213022364, 1664462559214663610, 1664462559214105527, 1664462559218339435, 1664462559222032101, 1664462559223627842, 45
1664462559233149526, 1664462559233176319, 1664462559233744588, 1664462559233222253, 1664462559237378429, 1664462559241097774, 1664462559242680953, 46
1664462559253063238, 1664462559253094006, 1664462559253698794, 1664462559253143896, 1664462559257325472, 1664462559261160792, 1664462559262828707, 47
1664462559273008954, 1664462559273036243, 1664462559273605077, 1664462559273081585, 1664462559277119934, 1664462559280840822, 1664462559282690774, 48
1664462559292985592, 1664462559293009980, 1664462559300328221, 1664462559299639114, 1664462559303333504, 1664462559306253418, 1664462559307505703, 49
1664462559313166763, 1664462559313191455, 1664462559330378491, 1664462559329930989, 1664462559332968960, 1664462559335621458, 1664462559336833056, 50
1664462559337653234, 1664462559337670640, 1664462559364595348, 1664462559363928140, 1664462559369101747, 1664462559373123479, 1664462559374943910, 51
1664462559376083256, 1664462559376106549, 1664462559383420290, 1664462559382848275, 1664462559386894551, 1664462559390634040, 1664462559392193154, 52
1664462559393285490, 1664462559393309954, 1664462559403472104, 1664462559402752497, 1664462559407186013, 1664462559411036296, 1664462559412575846, 53
1664462559413681799, 1664462559413706416, 1664462559414885013, 1664462559414346505, 1664462559418623278, 1664462559421313637, 1664462559422503726, 54
1664462559432851787, 1664462559432864482, 1664462559433148241, 1664462559432886499, 1664462559434695584, 1664462559436331072, 1664462559437106905, 55
1664462559452898228, 1664462559452915376, 1664462559461678921, 1664462559461374116, 1664462559463272511, 1664462559464960032, 1664462559465749219, 56
1664462559472869648, 1664462559472881674, 1664462559477306900, 1664462559477060281, 1664462559478862726, 1664462559480497395, 1664462559481301940, 57
1664462559492847354, 1664462559492859634, 1664462559493572258, 1664462559493326380, 1664462559495125098, 1664462559496754241, 1664462559497539869, 58
